city,state_code,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size
REDONDO BEACH,CA,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34
WALNUT CREEK,CA,47.6,31994.0,36912.0,68906,4977.0,13624.0,2.22
MISSION,TX,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51
MCALLEN,TX,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19
CHEEKTOWAGA,NY,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3
OCEANSIDE,CA,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72
ORLANDO,FL,33.1,130940.0,139977.0,270917,12782.0,50558.0,2.42
PARMA,OH,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42
HARLINGEN,TX,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0
PEMBROKE PINES,FL,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94
ALHAMBRA,CA,41.0,42184.0,43388.0,85572,1673.0,44441.0,2.89
BRENTWOOD,NY,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98
RIVERSIDE,CA,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34
MENIFEE,CA,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06
KALAMAZOO,MI,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36
CARSON,CA,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7
ANN ARBOR,MI,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17
FARMINGTON HILLS,MI,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41
MISSOURI CITY,TX,37.2,34932.0,36846.0,71778,4274.0,18556.0,3.03
ORANGE,CA,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14
EVERETT,WA,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36
CITRUS HEIGHTS,CA,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49
GAINESVILLE,FL,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33
MILPITAS,CA,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32
TAMPA,FL,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47
SANTA MONICA,CA,40.6,46732.0,46487.0,93219,2008.0,24448.0,2.0
EAU CLAIRE,WI,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4
ENTERPRISE,NV,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89
SHAWNEE,KS,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64
NORTH CHARLESTON,SC,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82
BOYNTON BEACH,FL,45.8,33701.0,40271.0,73972,4727.0,15431.0,2.45
TEMPLE,TX,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59
ROCKVILLE,MD,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6
CAPE CORAL,FL,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85
MANTECA,CA,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25
LITTLE ROCK,AR,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36
OXNARD,CA,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08
BK,CA,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52
EVANSTON,IL,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29
ATASCOCITA,TX,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03
SURPRISE,AZ,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9
DOTHAN,AL,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59
RAPID CITY,SD,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31
LEE'S SUMMIT,MO,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68
WARREN,MI,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45
ERIE,PA,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31
MOUNTAIN VIEW,CA,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46
WEST VALLEY CITY,UT,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81
HARTFORD,CT,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59
FREMONT,CA,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12
ELGIN,IL,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97
GREENVILLE,NC,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4
GASTONIA,NC,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67
FRISCO,TX,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05
OKLAHOMA CITY,OK,34.1,309227.0,322036.0,631263,41843.0,80165.0,2.58
CARLSBAD,CA,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68
PASADENA,CA,37.6,67712.0,74534.0,142246,4618.0,40779.0,2.63
NAPERVILLE,IL,38.5,71365.0,75794.0,147159,4545.0,30399.0,2.76
JOHNSON CITY,TN,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18
GOODYEAR,AZ,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.97
WYOMING,MI,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65
READING,PA,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95
ROCHESTER HILLS,MI,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66
MADISON,WI,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23
PORTLAND,ME,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13
COLLEGE STATION,TX,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52
LEWISVILLE,TX,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78
RALEIGH,NC,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42
MOUNT VERNON,NY,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85
DALLAS,TX,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59
SAN TAN VALLEY,AZ,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44
EAST ORANGE,NJ,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85
AUSTIN,TX,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5
CASAS ADOBES,AZ,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24
INDIANAPOLIS,IN,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53
RENTON,WA,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57
ODESSA,TX,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92
ROUND ROCK,TX,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13
SANTA FE,NM,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41
AKRON,OH,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24
SAN JOSE,CA,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13
SAINT PAUL,MN,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58
MUNCIE,IN,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35
VICTORVILLE,CA,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47
MURFREESBORO,TN,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6
CHATTANOOGA,TN,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4
FAIRFIELD,CA,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14
TOLEDO,OH,36.1,135455.0,144323.0,279778,15286.0,9257.0,2.29
ASHEVILLE,NC,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18
SAVANNAH,GA,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57
FAYETTEVILLE,NC,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5
LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT,KY,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45
YORBA LINDA,CA,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0
BILLINGS,MT,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4
DENTON,TX,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66
LONG BEACH,CA,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78
JACKSONVILLE,FL,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62
TUSCALOOSA,AL,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67
ELK GROVE,CA,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34
PARADISE,NV,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65
SANDY SPRINGS,GA,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4
PEARLAND,TX,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0
VIRGINIA BEACH,VA,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61
ROSEVILLE,CA,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72
HOMESTEAD,FL,31.4,31401.0,35099.0,66500,2287.0,24408.0,3.48
IOWA CITY,IA,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36
ARDEN-ARCADE,CA,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18
LARGO,FL,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28
CARROLLTON,TX,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78
CHANDLER,AZ,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78
IRVINE,CA,34.6,125411.0,131516.0,256927,5532.0,116366.0,2.73
MEDFORD,OR,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65
CORAL SPRINGS,FL,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17
BOSSIER CITY,LA,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4
WOODBURY,MN,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.72
BOSTON,MA,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38
PITTSBURG,CA,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15
SAN RAMON,CA,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09
RENO,NV,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46
TOPEKA,KS,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32
NEWPORT NEWS,VA,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46
POINCIANA,FL,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93
COMPTON,CA,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08
CEDAR PARK,TX,34.4,31248.0,33589.0,64837,3090.0,5207.0,3.05
MERCED,CA,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15
SHREVEPORT,LA,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53
PALATINE,IL,38.0,36506.0,32763.0,69269,2629.0,21760.0,2.69
SAN ANGELO,TX,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5
PASSAIC,NJ,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56
LAKE CHARLES,LA,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36
NORTH RICHLAND HILLS,TX,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64
JACKSON,MS,31.7,79039.0,91772.0,170811,8146.0,1789.0,2.65
BOISE,ID,34.9,110099.0,108181.0,218280,16004.0,13409.0,2.61
CARMEL,IN,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71
PALMDALE,CA,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54
BALTIMORE,MD,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51
INDIO,CA,35.9,43803.0,43723.0,87526,3647.0,22538.0,3.08
FLORENCE-GRAHAM,CA,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57
SANTA CLARITA,CA,38.1,90192.0,92175.0,182367,8537.0,40666.0,3.02
BUENA PARK,CA,35.7,41593.0,41671.0,83264,3116.0,28430.0,3.55
SAN CLEMENTE,CA,45.2,34076.0,31456.0,65532,3970.0,8109.0,2.64
LAWRENCE,KS,27.4,45592.0,48324.0,93916,2986.0,8701.0,2.53
DOWNEY,CA,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45
LAFAYETTE,LA,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54
NEWPORT BEACH,CA,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4
SCHENECTADY,NY,36.7,32398.0,32901.0,65299,3388.0,10961.0,2.82
SOUTH GATE,CA,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97
BROWNSVILLE,TX,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48
COSTA MESA,CA,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59
TYLER,TX,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59
NAPA,CA,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84
CENTENNIAL,CO,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66
SUNRISE,FL,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98
LAWRENCE,MA,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17
TUCSON,AZ,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45
FULLERTON,CA,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97
LAKE FOREST,CA,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76
STOCKTON,CA,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16
SAN ANTONIO,TX,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93
OREM,UT,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26
NORMAN,OK,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47
YOUNGS,OH,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22
HAYWARD,CA,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32
SANDY,UT,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22
MORENO VALLEY,CA,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9
DELRAY BEACH,FL,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35
GRESHAM,OR,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67
FEDERAL WAY,WA,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68
WATERLOO,IA,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42
JERSEY CITY,NJ,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.57
MISSION VIEJO,CA,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85
DALE CITY,VA,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65
ALBUQUERQUE,NM,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49
PLANO,TX,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65
HESPERIA,CA,29.4,43588.0,49698.0,93286,3739.0,16667.0,3.52
LEHIGH ACRES,FL,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55
NORWALK,CT,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7
PAWTUCKET,RI,39.2,36072.0,35511.0,71583,3173.0,17884.0,2.41
TOWN 'N' COUNTRY,FL,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61
SAINT CLOUD,MN,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41
MIDLAND,TX,32.1,66595.0,66355.0,132950,5753.0,17061.0,2.78
CHICAGO,IL,34.2,1320015.0,1400541.0,2720556,72042.0,573463.0,2.53
KNOXVILLE,TN,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21
WESTLAND,MI,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41
COLUMBIA,MO,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37
YUMA,AZ,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64
ROANOKE,VA,36.9,47252.0,52645.0,99897,6567.0,7346.0,2.35
RIALTO,CA,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83
POMONA,CA,32.1,74945.0,78307.0,153252,3251.0,53879.0,3.63
WARNER ROBINS,GA,31.4,35093.0,38909.0,74002,6974.0,3210.0,2.5
EAST LOS ANGELES,CA,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75
SIMI VALLEY,CA,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13
DAVENPORT,IA,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39
THORNTON,CO,33.1,65482.0,67977.0,133459,7261.0,17949.0,2.97
GARY,IN,38.1,35876.0,41478.0,77354,3952.0,1884.0,2.35
PALM COAST,FL,48.8,39489.0,42632.0,82121,7950.0,9084.0,2.76
HIALEAH,FL,43.0,111530.0,125552.0,237082,1844.0,170148.0,3.31
CLIFTON,NJ,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11
BELLFLOWER,CA,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58
BROOMFIELD,CO,36.8,31755.0,33310.0,65065,3966.0,5316.0,2.53
JOLIET,IL,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13
PORTLAND,OR,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43
SAN FRANCISCO,CA,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37
CAMARILLO,CA,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77
SKOKIE,IL,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78
REDWOOD CITY,CA,37.1,42676.0,42624.0,85300,2430.0,27652.0,2.64
EVANSVILLE,IN,38.0,57198.0,60481.0,117679,9063.0,3169.0,2.25
HILLSBORO,OR,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68
THE WOODLANDS,TX,38.8,56083.0,63061.0,119144,8351.0,21188.0,2.93
LONGVIEW,TX,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55
UPLAND,CA,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77
SUNRISE MANOR,NV,32.5,93505.0,99103.0,192608,10663.0,56530.0,3.25
LUBBOCK,TX,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61
KIRKLAND,WA,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3
GARDEN GROVE,CA,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66
BATON ROUGE,LA,31.2,111492.0,117104.0,228596,10633.0,12268.0,2.52
LIVERMORE,CA,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91
PATERSON,NJ,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37
CONROE,TX,31.5,34907.0,33685.0,68592,4871.0,13839.0,2.65
EDMOND,OK,32.5,45191.0,44899.0,90090,5006.0,5585.0,2.68
SACRAMENTO,CA,33.7,237724.0,252991.0,490715,19698.0,112579.0,2.73
DETROIT,MI,34.8,319265.0,357859.0,677124,29511.0,39861.0,2.6
ONTARIO,CA,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52
ALAMEDA,CA,41.4,37747.0,40867.0,78614,4504.0,18841.0,2.52
CLOVIS,CA,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76
GILBERT,AZ,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2
HAMMOND,IN,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61
SAINT LOUIS,MO,35.0,153026.0,162659.0,315685,17060.0,21802.0,2.16
ALLEN,TX,37.2,51324.0,46814.0,98138,3505.0,19649.0,3.04
ATHENS-CLARKE COUNTY UNIFIED GOVERNMENT,GA,26.5,57415.0,65148.0,122563,3953.0,12868.0,2.44
SCRANTON,PA,38.5,37975.0,39137.0,77112,5059.0,8069.0,2.39
MODESTO,CA,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.97
PERRIS,CA,26.9,41623.0,33336.0,74959,1321.0,23277.0,4.78
SOUTH JORDAN,UT,33.8,33669.0,32970.0,66639,2595.0,6142.0,3.61
VISALIA,CA,32.6,63695.0,66399.0,130094,5547.0,20779.0,3.11
DAVIS,CA,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69
GAITHERSBURG,MD,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73
COLUMBUS,GA,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62
PASADENA,TX,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95
ALBANY,GA,33.3,31695.0,39414.0,71109,5409.0,861.0,2.38
PLYMOUTH,MN,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46
CORONA,CA,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.97
CONCORD,NC,35.7,42732.0,44961.0,87693,4621.0,8847.0,2.72
ROCHESTER,MN,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55
OSHKOSH,WI,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3
BALDWIN PARK,CA,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13
OAKLAND,CA,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56
AUGUSTA-RICHMOND COUNTY CONSOLIDATED GOVERNMENT,GA,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67
SALEM,OR,35.4,80839.0,83704.0,164543,9685.0,19668.0,2.69
SCHAUMBURG,IL,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.72
SPRINGFIELD,MO,34.1,81057.0,85741.0,166798,12291.0,7765.0,2.12
LOWELL,MA,33.4,54422.0,56298.0,110720,3764.0,33414.0,2.8
GLEN BURNIE,MD,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58
BEND,OR,37.3,42294.0,44723.0,87017,6199.0,3032.0,2.39
BRIDGEPORT,CT,34.1,71509.0,76110.0,147619,4646.0,44475.0,2.86
BROKEN ARROW,OK,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77
NEW ORLEANS,LA,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41
ARLINGTON,TX,32.6,191060.0,197062.0,388122,17050.0,79271.0,2.89
BELLEVUE,WA,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43
IRVING,TX,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78
WHITTIER,CA,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11
BAY,TX,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59
LOVELAND,CO,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53
MOUNT PLEASANT,SC,42.7,39429.0,41880.0,81309,3981.0,4701.0,2.53
HEMET,CA,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.97
ARLINGTON,VA,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19
FRANKLIN,TN,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73
ROCHESTER,NY,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36
SUGAR LAND,TX,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95
MURRIETA,CA,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3
MIAMI,FL,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5
APPLE VALLEY,CA,34.3,32873.0,39312.0,72185,5714.0,5801.0,3.03
MACON,GA,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46
CLEVELAND,OH,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24
TEMPE,AZ,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44
ALBANY,NY,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08
SOUTHFIELD,MI,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27
DURHAM,NC,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4
PHARR,TX,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67
SPOKANE VALLEY,WA,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39
GRAND RAPIDS,MI,32.1,95669.0,99430.0,195099,8972.0,19176.0,2.56
SUNNYVALE,CA,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74
COLUMBIA,SC,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32
FORT LAUDERDALE,FL,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38
WARWICK,RI,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4
AURORA,CO,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.82
BLOOMINGTON,MN,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3
CANTON,OH,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32
LANSING,MI,31.4,54333.0,59777.0,114110,5327.0,8371.0,2.39
MAYAGÜEZ,PR,38.1,30799.0,35782.0,66581,,,
LAGUNA NIGUEL,CA,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58
PINE HILLS,FL,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3
NEW YORK,NY,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68
PONCE,PR,40.5,56968.0,64615.0,121583,,,
BAYAMÓN,PR,39.4,80128.0,90131.0,170259,,,
MOBILE,AL,38.0,91275.0,103030.0,194305,11939.0,7234.0,2.4
LEAGUE CITY,TX,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72
LAFAYETTE,IN,33.5,34313.0,36857.0,71170,5045.0,5697.0,2.19
GUAYNABO,PR,42.2,33066.0,37426.0,70492,,,
MISSOULA,MT,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15
