municipality,port_code,state_code
ALCAN,ALC,AK
ANCHORAGE,ANC,AK
BAKER AAF - BAKER ISLAND,BAR,AK
DALTONS CACHE,DAC,AK
DEW STATION PT LAY DEW,PIZ,AK
DUTCH HARBOR,DTH,AK
EAGLE,EGL,AK
FAIRBANKS,FRB,AK
HOMER,HOM,AK
HYDER,HYD,AK
JUNEAU,JUN,AK
KETCHIKAN,5KE,AK
KETCHIKAN,KET,AK
MOSES POINT INTERMEDIATE,MOS,AK
NIKISKI,NIK,AK
NOM,NOM,AK
POKER CREEK,PKC,AK
PORT LIONS SPB,ORI,AK
SKAGWAY,SKA,AK
ST. PAUL ISLAND,SNP,AK
TOKEEN,TKI,AK
WRANGELL,WRA,AK
MADISON COUNTY - HUNTSVILLE,HSV,AL
MOBILE,MOB,AL
ROGERS ARPT,ROG,AR
DOUGLAS,DOU,AZ
LUKEVILLE,LUK,AZ
NACO,NAC,AZ
NOGALES,NOG,AZ
PHOENIX,PHO,AZ
PORTAL,POR,AZ
SAN LUIS,SLU,AZ
SASABE,SAS,AZ
TUCSON,TUC,AZ
YUMA,YUI,AZ
ANDRADE,AND,CA
BURBANK,BUR,CA
CALEXICO,CAL,CA
CAMPO,CAO,CA
FRESNO,FRE,CA
IMPERIAL COUNTY,ICP,CA
LONG BEACH,LNB,CA
LOS ANGELES,LOS,CA
MEADOWS FIELD - BAKERSFIELD,BFL,CA
OAKLAND,OAK,CA
ONTARIO,ONT,CA
OTAY MESA,OTM,CA
PACIFIC,BLT,CA
PALM SPRINGS,PSP,CA
SACRAMENTO,SAC,CA
SAN DIEGO,SDP,CA
SAN FRANCISCO,SFR,CA
SAN JOSE,SNJ,CA
SAN LUIS OBISPO,SLO,CA
SAN PEDRO,SPC,CA
SAN YSIDRO,SYS,CA
SANTA ANA,SAA,CA
TECATE,TEC,CA
TRAVIS-AFB,TRV,CA
ARAPAHOE COUNTY,APA,CO
COLORADO SPRINGS,COS,CO
DENVER,DEN,CO
LA PLATA - DURANGO,DRO,CO
BRADLEY INTERNATIONAL,BDL,CT
BRIDGEPORT,BGC,CT
GROTON,GRT,CT
HARTFORD,HAR,CT
NEW HAVEN,NWH,CT
NEW LONDON,NWL,CT
NEWINGTON DATA CENTER TEST,TST,CT
DOVER AFB,DOV,DE
DOVER-AFB,DVD,DE
WILMINGTON,WLL,DE
BOCAGRANDE,BOC,FL
BRADENTON - SARASOTA,SRQ,FL
CAPE CANAVERAL,CAN,FL
DAYTONA BEACH INTERNATIONAL,DAB,FL
FERNANDINA,FRN,FL
FORT LAUDERDALE,FTL,FL
FORT MYERS,FMY,FL
FORT PIERCE,FPF,FL
HURLBURT FIELD,HUR,FL
J R ALISON MUNI - GAINESVILLE,GNV,FL
JACKSONVILLE,JAC,FL
KEY WEST,KEY,FL
LEESBURG MUNICIPAL AIRPORT,LEE,FL
MELBOURNE,MLB,FL
MIAMI,MIA,FL
OPA LOCKA,OPF,FL
ORLANDO,ORL,FL
PANAMA CITY,PAN,FL
PENSACOLA,PEN,FL
PORT CANAVERAL,PCF,FL
PORT EVERGLADES,PEV,FL
PORT ST JOE,PSJ,FL
SANFORD,SFB,FL
ST AUGUSTINE ARPT,SGJ,FL
ST AUGUSTINE,SAU,FL
ST LUCIE COUNTY,FPR,FL
ST PETERSBURG,SPE,FL
TAMPA,TAM,FL
WEST PALM BEACH,WPB,FL
ATLANTA,ATL,GA
BRUNSWICK,BRU,GA
BUSH FIELD - AUGUSTA,AGS,GA
SAVANNAH,SAV,GA
AGANA,AGA,GU
HONOLULU,HHW,HI
KAHULUI - MAUI,OGG,HI
KEAHOLE-KONA,KOA,HI
LIHUE,LIH,HI
CEDAR RAPIDS/IOWA CITY,CID,IA
DES MOINES,DSM,IA
AIR TERM. (GOWEN FLD) BOISE,BOI,ID
EASTPORT,EPI,ID
FANNING FIELD - IDAHO FALLS,IDA,ID
PORTHILL,PTL,ID
CAPITAL - SPRINGFIELD,SPI,IL
CHICAGO,CHI,IL
DUPAGE COUNTY,DPA,IL
GREATER PEORIA,PIA,IL
GREATER ROCKFORD,RFD,IL
MEMORIAL - WAUKEGAN,UGN,IL
GARY,GAR,IN
HAMMOND,HMM,IN
INDIANAPOLIS,INP,IN
MERRILLVILLE,MRL,IN
SOUTH BEND,SBN,IN
MID-CONTINENT - WITCHITA,ICT,KS
BLUE GRASS - LEXINGTON,LEX,KY
LOUISVILLE,LOU,KY
BATON ROUGE,BTN,LA
LAKE CHARLES,LKC,LA
MONROE,MLU,LA
MORGAN CITY,MGC,LA
NEW ORLEANS,NOL,LA
BOSTON,BOS,MA
GLOUCESTER,GLO,MA
HANSCOM FIELD - BEDFORD,BED,MA
LYNDEN,LYN,WA
ANDREWS AFB,ADW,MD
BALTIMORE,BAL,MD
MUSKEGON,MKG,MD
PATUXENT RIVER,PAX,MD
BANGOR,BGM,ME
BOOTHBAY HARBOR,BOO,ME
BRIDGEWATER,BWM,ME
BUCKPORT,BCK,ME
CALAIS,CLS,ME
CARIBOU,CRB,ME
COBURN GORE,COB,ME
EASTCOURT,EST,ME
EASTPORT MUNICIPAL,EPT,ME
EASTPORT,EPM,ME
FOREST CITY,FOR,ME
FORT FAIRFIELD,FTF,ME
FORT KENT,FTK,ME
HAMIIN,HML,ME
HOULTON,HTM,ME
JACKMAN,JKM,ME
KALISPEL,KAL,MT
LIMESTONE,LIM,ME
LUBEC,LUB,ME
MADAWASKA,MAD,ME
PORTLAND,POM,ME
SOUTH BREWER,SBR,ME
ST AURELIE,SRL,ME
ST PAMPILE,SPA,ME
VAN BUREN,VNB,ME
VANCEBORO,VCB,ME
ALGONAC,AGN,MI
ALPENA,ALP,MI
BAY CITY,BCY,MI
DETROIT,DET,MI
GRAND RAPIDS,GRP,MI
GROSSE ISLE,GRO,MI
ISLE ROYALE,ISL,MI
MARINE CITY,MRC,MI
MARYSVILLE,MRY,MI
OAKLAND COUNTY - PONTIAC,PTK,MI
PORT HURON,PHU,MI
ROBERTS LANDING,RBT,MI
SAGINAW,SAG,MI
SAULT STE. MARIE,SSM,MI
ST CLAIR,SCL,MI
WILLOW RUN - YPSILANTI,YIP,MI
BAUDETTE,BAU,MN
CARIBOU MUNICIPAL AIRPORT,CAR,MN
Collapsed into INT,GTF,MN
Collapsed into INT,INL,MN
CRANE LAKE,CRA,MN
CRYSTAL MUNICIPAL AIRPORT,MIC,MN
DULUTH,DUL,MN
ELY,ELY,MN
GRAND PORTAGE,GPM,MN
GRANT COUNTY - SILVER CITY,SVC,MN
INTL FALLS,INT,MN
LANCASTER,LAN,MN
MINN./ST PAUL,MSP,MN
NORTHERN SVC CENTER,LIN,MN
NOYES,NOY,MN
PINE CREEK,PIN,MN
PINECREEK BORDER ARPT,48Y,MN
RAINER,RAN,MN
ROCHESTER,RST,MN
ROSEAU,ROS,MN
ST PAUL,SPM,MN
WARROAD INTL,WSB,MN
WARROAD,WAR,MN
KANSAS CITY,KAN,MO
SPRINGFIELD-BRANSON,SGF,MO
ST LOUIS,STL,MO
WHITETAIL,WHI,MT
WILD HORSE,WHM,MT
BILOXI REGIONAL,GPT,MS
GOLDEN TRIANGLE LOWNDES CNTY,GTR,MS
GULFPORT,GUL,MS
PASCAGOULA,PAS,MS
THOMPSON FIELD - JACKSON,JAN,MS
BILLINGS,BIL,MT
BUTTE,BTM,MT
CHIEF MT,CHF,MT
CUT BANK MUNICIPAL,CTB,MT
CUT BANK,CUT,MT
DEL BONITA,DLB,MT
GALLATIN FIELD - BOZEMAN,BZN,MT
GLACIER NATIONAL PARK,FCA,MT
GLASGOW,GGW,MT
GREAT FALLS,GRE,MT
HAVRE,HVR,MT
HELENA,HEL,MT
LEWISTON,LWT,MT
MORGAN,MGM,MT
OPHEIM,OPH,MT
PIEGAN,PIE,MT
RAYMOND,RAY,MT
ROOSVILLE,ROO,MT
SCOBEY,SCO,MT
SWEETGTASS,SWE,MT
TRIAL CREEK,TRL,MT
TURNER,TUR,MT
WILLOW CREEK,WCM,MT
CHARLOTTE,CLT,NC
FAYETTEVILLE,FAY,NC
MOREHEAD CITY,MRH,NC
MORRIS FIELDS AAF,FOP,NC
PIEDMONT TRIAD INTL AIRPORT,GSO,NC
RALEIGH/DURHAM,RDU,NC
SHAW AFB - SUMTER,SSC,NC
WILMINGTON,WIL,NC
AMBROSE,AMB,ND
ANTLER,ANT,ND
CARBURY,CRY,ND
DUNSEITH,DNS,ND
FARGO,FAR,ND
FORTUNA,FRT,ND
GRAND FORKS,GRF,ND
HANNAH,HNN,ND
HANSBORO,HNS,ND
MAIDA,MAI,ND
MINOT,MND,ND
NECHE,NEC,ND
NOONAN,NOO,ND
NORTHGATE,NRG,ND
PEMBINA,PEM,ND
SARLES,SAR,ND
SHERWOOD,SHR,ND
ST JOHN,SJO,ND
WALHALLA,WAL,ND
WESTHOPE,WHO,ND
WILLISTON,WND,ND
OMAHA,OMA,NE
LEBANON,LEB,NH
MANCHESTER,MHT,NH
PITTSBURG,PNH,NH
PORTSMOUTH,PSM,NH
BAYONNE,BYO,NJ
CAMDEN,CNJ,NJ
HOBOKEN,HOB,NJ
JERSEY CITY,JER,NJ
MC GUIRE AFB - WRIGHTSOWN,WRI,NJ
MORRISTOWN,MMU,NJ
NEWARK/TETERBORO,NEW,NJ
PERTH AMBOY,PER,NJ
POMONA FIELD - ATLANTIC CITY,ACY,NJ
ALBUQUERQUE,ABQ,NM
ANTELOPE WELLS,ANP,NM
CARLSBAD,CRL,NM
COLUMBUS,COL,NM
CRANE LAKE - ST. LOUIS CNTY,CDD,NM
LAS CRUCES,LAS,NM
RUIDOSO,RUI,NM
SANTA TERESA,STR,NM
CANNON INTL - RENO/TAHOE,RNO,NV
FALLON MUNICIPAL AIRPORT,FLX,NV
LAS VEGAS,LVG,NV
RENO,REN,NV
ALBANY,ALB,NY
ALEXANDRIA BAY,AXB,NY
BUFFALO,BUF,NY
CANNON CORNERS,CNH,NY
CAPE VINCENT,CAP,NY
CHAMPLAIN,CHM,NY
CHATEAUGAY,CHT,NY
CLAYTON,CLA,NY
FORT COVINGTON,FTC,NY
LA GUARDIA,LAG,NY
LEWISTON,LEW,NY
MASSENA,MAS,NY
MCGUIRE AFB,MAG,NY
MOORES,MOO,NY
MORRISTOWN,MRR,NY
NEW YORK,NYC,NY
NIAGARA FALLS,NIA,NY
OGDENSBURG,OGD,NY
OSWEGO,OSW,NY
REGIONAL ARPT - HORSEHEAD,ELM,NY
ROCHESTER,ROC,NY
ROUSES POINT,ROU,NY
STEWART - ORANGE CNTY,SWF,NY
SYRACUSE,SYR,NY
THOUSAND ISLAND BRIDGE,THO,NY
TROUT RIVER,TRO,NY
WATERTOWN,WAT,NY
WESTCHESTER - WHITE PLAINS,HPN,NY
WHIRLPOOL BRIDGE,WRB,NY
YOUNGSTOWN,YOU,NY
AKRON,AKR,OH
ASHTABULA,ATB,OH
CINCINNATI,CIN,OH
CLEVELAND,CLE,OH
COLUMBUS,CLM,OH
LORAIN,LOR,OH
MARBLE HEADS,MBO,OH
SANDUSKY,SDY,OH
TOLEDO,TOL,OH
OKLAHOMA CITY,OKC,OK
TULSA,TUL,OK
ASTORIA,AST,OR
COOS BAY,COO,OR
HILLSBORO,HIO,OR
MEDFORD,MED,OR
NEWPORT,NPT,OR
PORTLAND,POO,OR
PUT-IN-BAY,PUT,OH
ROBERTS FIELDS - REDMOND,RDM,OR
ERIE,ERI,PA
HARRISBURG,MDT,PA
HARRISONBURG,HSB,PA
PHILADELPHIA,PHI,PA
PITTSBURG,PIT,PA
AGUADILLA,AGU,PR
BORINQUEN - AGUADILLO,BQN,PR
CULEBRA - BENJAMIN RIVERA,JCP,PR
ENSENADA,ENS,PR
FAJARDO,FAJ,PR
HUMACAO,HUM,PR
JOBOS,JOB,PR
MAYAGUEZ,MAY,PR
PONCE,PON,PR
PONCE-MERCEDITA,PSE,PR
SAN JUAN,SAJ,PR
VIEQUES-ARPT,VQS,PR
PROVIDENCE,PRO,RI
THEODORE FRANCIS - WARWICK,PVD,RI
CHARLESTON,CHL,SC
GEORGETOWN,GEO,SC
GREENVILLE,GSP,SC
GREER,GRR,SC
MYRTLE BEACH,MYR,SC
BLACK HILLS,SPF,SD
HOWES REGIONAL ARPT - HURON,HON,SD
MC GHEE TYSON - ALCOA,TYS,TN
MEMPHIS,MEM,TN
NASHVILLE,NSV,TN
TRI CITY ARPT,TRI,TN
ADDISON AIRPORT- ADDISON,ADS,TX
AMISTAD DAM,ADT,TX
ANZALDUAS,ANZ,TX
AUSTIN,AUS,TX
BEAUMONT,BEA,TX
BP SPEC COORD. CTR,SCC,TX
BP TACTICAL UNIT,BTC,TX
BRIDGE OF AMERICAS,BOA,TX
BROWNSVILLE,BRO,TX
CORPUS CHRISTI,CRP,TX
DALLAS,DAL,TX
DEL RIO,DLR,TX
DONNA,DNA,TX
EAGLE PASS,EGP,TX
EL PASO,ELP,TX
FABENS,FAB,TX
FALCON HEIGHTS,FAL,TX
FORT HANCOCK,FTH,TX
FORT WORTH ALLIANCE,AFW,TX
FREEPORT,FPT,TX
GALVESTON,GAL,TX
HARLINGEN,HLG,TX
HIDALGO,HID,TX
HOUSTON,HOU,TX
HULL FIELD,SGR,TX
JUAREZ-LINCOLN BRIDGE,LLB,TX
LAREDO COLUMBIA BRIDGE,LCB,TX
LAREDO NORTH,LRN,TX
LAREDO,LAR,TX
LOS EBANOS,LSE,TX
LOS INDIOS,IND,TX
LOS INDIOS,LOI,TX
MCALLEN,MCA,TX
ODESSA REGIONAL,MAF,TX
PASO DEL NORTE,PDN,TX
PEACE BRIDGE,PBB,NY
PHARR,PHR,TX
PORT ARTHUR,PAR,TX
PORT ISABEL,ISB,TX
PORT OF EL PASO,POE,TX
PRESIDIO,PRE,TX
PROGRESO,PGR,TX
RIO GRANDE CITY,RIO,TX
ROMA,ROM,TX
SAN ANTONIO,SNA,TX
SANDERSON,SNN,TX
VETERAN INTL BRIDGE,VIB,TX
YSLETA,YSL,TX
CHARLOTTE AMALIE,CHA,VI
CHRISTIANSTED,CHR,VI
CRUZ BAY,CRU,VI
FREDERIKSTED,FRK,VI
ST THOMAS,STT,VI
CACHE AIRPORT - LOGAN,LGU,UT
SALT LAKE CITY,SLC,UT
ALBEMARLE CHARLOTTESVILLE,CHO,VA
DAVISON AAF - FAIRFAX CNTY,DAA,VA
HOPEWELL,HOP,VA
NEWPORT,NWN,VA
NORFOLK,NOR,VA
RICHMOND,RCM,VA
ALBURG SPRINGS,ABS,VT
ALBURG,ABG,VT
BEEBE PLAIN,BEB,VT
BEECHER FALLS,BEE,VT
BURLINGTON,BRG,VT
CANAAN,CNA,VT
EAST RICHFORD,ERC,VT
HIGHGATE SPRINGS,HIG,VT
MORSES LINE,MOR,VT
NEWPORT,NPV,VT
NORTH TROY,NRT,VT
NORTON,NRN,VT
PINNACLE ROAD,PIV,VT
RICHFORT,RIF,VT
ST ALBANS,STA,VT
WEST BERKSHIRE,WBE,VT
ABERDEEN,ABE,WA
ANACORTES,ANA,WA
BELLINGHAM,BEL,WA
BLAINE,BLA,WA
BOUNDARY,BWA,WA
DANVILLE,DVL,WA
EVERETT,EVE,WA
FERRY,FER,WA
FRIDAY HARBOR,FRI,WA
FRONTIER,FWA,WA
KALAMA,KLM,WA
LAURIER,LAU,WA
LONGVIEW,LON,WA
METALINE FALLS,MET,WA
MOSES LAKE GRANT COUNTY ARPT,MWH,WA
NEAH BAY,NEA,WA
NIGHTHAWK,NIG,WA
OLYMPIA,OLY,WA
OROVILLE,ORO,WA
PASCO,PWB,WA
POINT ROBERTS,PIR,WA
PORT ANGELES,PNG,WA
PORT TOWNSEND,PTO,WA
SEATTLE,SEA,WA
SPOKANE,SPO,WA
SUMAS,SUM,WA
TACOMA,TAC,WA
TRI-CITIES - PASCO,PSC,WA
VANCOUVER,VAN,WA
ALGOMA,AGM,WI
BAYFIELD,BAY,WI
GREEN BAY,GRB,WI
MANITOWOC,MNW,WI
MILWAUKEE,MIL,WI
TRUAX FIELD - DANE COUNTY,MSN,WI
CHARLESTON,CHS,WV
CLARKSBURG,CLK,WV
MERCER COUNTY,BLF,WV
CASPER,CSP,WY
CANNON CORNERS,CNC,NY
MAGNOLIA,AG0,AR
BAR HARBOR,BHM,ME
BIRMINGHAM,BHX,AL
AKRON,CAK,OH
SUFFOLK COUNTY,FOK,NY
LANDER,LND,WY
MARFA,MAR,TX
MOLINE,MLI,IL
RIVERSIDE,RIV,CA
ROME,RME,NY
VAN NUYS,VNY,CA
YUMA,YUM,AZ
